{'-data': 'mnist', '-dim': 16, '-n_cols': 28, '-n_rows': 28, '-nlayers': 10, '-saving': 'convhighway_mnist_dim16_shared0', '-inpShape': [28, 28], '-shared': 0}
epoch	loss	vloss	vacc
0	1.4255	0.2458	0.9326
1	0.3936	0.1545	0.9530
2	0.2695	0.1043	0.9671
3	0.2188	0.0862	0.9738
4	0.1901	0.0823	0.9754
5	0.1744	0.0764	0.9780
6	0.1626	0.0639	0.9795
7	0.1506	0.0607	0.9810
8	0.1407	0.0619	0.9798
9	0.1334	0.0561	0.9836
10	0.1299	0.0578	0.9826
11	0.1245	0.0662	0.9805
12	0.1175	0.0577	0.9830
13	0.1126	0.0528	0.9833
14	0.1098	0.0503	0.9843
15	0.1064	0.0540	0.9847
16	0.1065	0.0498	0.9849
17	0.0987	0.0418	0.9879
18	0.0999	0.0425	0.9871
19	0.0982	0.0468	0.9870
Result on test set: loss: 0.0345, result: 0.9891
training time: 1426.59
